-3.87254e-05,-3.75319e-05,-6.60101e-07,-6.39757e-07,-3.87254e-05,-3.75319e-05,-3.75319e-05,3.87254e-05,
-3.94154e-05,-3.88178e-05,-6.71864e-07,-6.61677e-07,-3.94154e-05,-3.88178e-05,-3.88178e-05,3.94154e-05,
-4.01682e-05,-4.00382e-05,-6.84698e-07,-6.8248e-07,-4.01682e-05,-4.00382e-05,-4.00382e-05,4.01682e-05,
-4.09578e-05,-4.12513e-05,-6.98158e-07,-7.0316e-07,-4.09578e-05,-4.12513e-05,-4.12513e-05,4.09578e-05,
-4.17601e-05,-4.24725e-05,-7.11835e-07,-7.23978e-07,-4.17601e-05,-4.24725e-05,-4.24725e-05,4.17601e-05,
-4.2557e-05,-4.36973e-05,-7.2542e-07,-7.44857e-07,-4.2557e-05,-4.36973e-05,-4.36973e-05,4.2557e-05,
-4.3359e-05,-4.49523e-05,-7.39091e-07,-7.6625e-07,-4.3359e-05,-4.49523e-05,-4.49523e-05,4.3359e-05,
-4.41553e-05,-4.62247e-05,-7.52667e-07,-7.87941e-07,-4.41553e-05,-4.62247e-05,-4.62247e-05,4.41553e-05,
-4.49452e-05,-4.75128e-05,-7.66132e-07,-8.09899e-07,-4.49452e-05,-4.75128e-05,-4.75128e-05,4.49452e-05,
-4.57285e-05,-4.88145e-05,-7.79485e-07,-8.32089e-07,-4.57285e-05,-4.88145e-05,-4.88145e-05,4.57285e-05,
-4.6498e-05,-5.01146e-05,-7.92603e-07,-8.54252e-07,-4.6498e-05,-5.01146e-05,-5.01146e-05,4.6498e-05,
-4.72621e-05,-5.14241e-05,-8.0563e-07,-8.76575e-07,-4.72621e-05,-5.14241e-05,-5.14241e-05,4.72621e-05,
-4.80292e-05,-5.27546e-05,-8.18707e-07,-8.99256e-07,-4.80292e-05,-5.27546e-05,-5.27546e-05,4.80292e-05,
-4.87922e-05,-5.40916e-05,-8.31714e-07,-9.22049e-07,-4.87922e-05,-5.40916e-05,-5.40916e-05,4.87922e-05,
-4.95517e-05,-5.5434e-05,-8.44663e-07,-9.44934e-07,-4.95517e-05,-5.5434e-05,-5.5434e-05,4.95517e-05,
-5.03084e-05,-5.67808e-05,-8.57562e-07,-9.67893e-07,-5.03084e-05,-5.67808e-05,-5.67808e-05,5.03084e-05,
