-3.87254e-05,-3.75319e-05,-6.60101e-07,-6.39757e-07
-3.94154e-05,-3.88178e-05,-6.71864e-07,-6.61677e-07
-4.01682e-05,-4.00382e-05,-6.84698e-07,-6.8248e-07
-4.09578e-05,-4.12513e-05,-6.98158e-07,-7.0316e-07
-4.17601e-05,-4.24725e-05,-7.11835e-07,-7.23978e-07
-4.2557e-05,-4.36973e-05,-7.2542e-07,-7.44857e-07
-4.3359e-05,-4.49523e-05,-7.39091e-07,-7.6625e-07
-4.41553e-05,-4.62247e-05,-7.52667e-07,-7.87941e-07
-4.49452e-05,-4.75128e-05,-7.66132e-07,-8.09899e-07
-4.57285e-05,-4.88145e-05,-7.79485e-07,-8.32089e-07
-4.6498e-05,-5.01146e-05,-7.92603e-07,-8.54252e-07
-4.72621e-05,-5.14241e-05,-8.0563e-07,-8.76575e-07
-4.80292e-05,-5.27546e-05,-8.18707e-07,-8.99256e-07
-4.87922e-05,-5.40916e-05,-8.31714e-07,-9.22049e-07
-4.95517e-05,-5.5434e-05,-8.44663e-07,-9.44934e-07
-5.03084e-05,-5.67808e-05,-8.57562e-07,-9.67893e-07
-5.10551e-05,-5.81178e-05,-8.70293e-07,-9.90685e-07
-5.18066e-05,-5.94711e-05,-8.83105e-07,-1.01376e-06
-5.25551e-05,-6.08268e-05,-8.95866e-07,-1.03687e-06
-5.33011e-05,-6.21845e-05,-9.08584e-07,-1.06001e-06
-5.40384e-05,-6.35305e-05,-9.21153e-07,-1.08296e-06
-5.4775e-05,-6.48779e-05,-9.33712e-07,-1.10593e-06
-5.55116e-05,-6.62265e-05,-9.46269e-07,-1.12892e-06
-5.6248e-05,-6.75762e-05,-9.58824e-07,-1.15193e-06
-5.69844e-05,-6.89267e-05,-9.71379e-07,-1.17495e-06
-5.77282e-05,-7.02915e-05,-9.84059e-07,-1.19822e-06
-5.84718e-05,-7.16568e-05,-9.96738e-07,-1.22149e-06
-5.92155e-05,-7.30226e-05,-1.00942e-06,-1.24478e-06
-5.99591e-05,-7.43888e-05,-1.02209e-06,-1.26807e-06
-6.07026e-05,-7.57553e-05,-1.03477e-06,-1.29137e-06
-6.14386e-05,-7.71085e-05,-1.04732e-06,-1.31444e-06
