-3.87254e-05,-3.75319e-05,-0.00227186,-0.00220184,-3.75319e-05,-3.87254e-05,
-3.94154e-05,-3.88178e-05,-0.00231233,-0.00227727,-3.88178e-05,-3.94154e-05,
-4.01682e-05,-4.00382e-05,-0.0023565,-0.00234887,-4.00382e-05,-4.01682e-05,
-4.09578e-05,-4.12513e-05,-0.00240281,-0.00242003,-4.12513e-05,-4.09578e-05,
-4.17601e-05,-4.24725e-05,-0.00244988,-0.00249167,-4.24725e-05,-4.17601e-05,
-4.2557e-05,-4.36973e-05,-0.00249663,-0.00256352,-4.36973e-05,-4.2557e-05,
-4.3359e-05,-4.49523e-05,-0.00254367,-0.00263714,-4.49523e-05,-4.3359e-05,
-4.41553e-05,-4.62247e-05,-0.00259038,-0.00271178,-4.62247e-05,-4.41553e-05,
-4.49452e-05,-4.75128e-05,-0.00263671,-0.00278734,-4.75128e-05,-4.49452e-05,
-4.57285e-05,-4.88145e-05,-0.00268266,-0.0028637,-4.88145e-05,-4.57285e-05,
-4.6498e-05,-5.01146e-05,-0.0027278,-0.00293997,-5.01146e-05,-4.6498e-05,
-4.72621e-05,-5.14241e-05,-0.00277262,-0.00301678,-5.14241e-05,-4.72621e-05,
-4.80292e-05,-5.27546e-05,-0.00281762,-0.00309483,-5.27546e-05,-4.80292e-05,
-4.87922e-05,-5.40916e-05,-0.00286237,-0.00317326,-5.40916e-05,-4.87922e-05,
-4.95517e-05,-5.5434e-05,-0.00290693,-0.00325201,-5.5434e-05,-4.95517e-05,
-5.03084e-05,-5.67808e-05,-0.00295131,-0.00333101,-5.67808e-05,-5.03084e-05,
-5.10551e-05,-5.81178e-05,-0.00299511,-0.00340944,-5.81178e-05,-5.10551e-05,
-5.18066e-05,-5.94711e-05,-0.00303919,-0.00348882,-5.94711e-05,-5.18066e-05,
-5.25551e-05,-6.08268e-05,-0.0030831,-0.00356835,-6.08268e-05,-5.25551e-05,
-5.33011e-05,-6.21845e-05,-0.00312685,-0.00364799,-6.21845e-05,-5.33011e-05,
-5.40384e-05,-6.35305e-05,-0.0031701,-0.00372694,-6.35305e-05,-5.40384e-05,
-5.4775e-05,-6.48779e-05,-0.00321331,-0.00380598,-6.48779e-05,-5.4775e-05,
